Year,Medal,Avg_Age
1896,Bronze,22.7000
1896,Gold,23.2400
1896,Silver,23.8966
1900,Bronze,28.3680
1900,Gold,28.0800
1900,Silver,27.3288
1904,Bronze,26.2540
1904,Gold,26.5190
1904,Silver,26.6541
1906,Bronze,26.9506
1906,Gold,26.7520
1906,Silver,27.1263
1908,Bronze,27.1940
1908,Gold,28.6014
1908,Silver,27.3891
1912,Bronze,27.1932
1912,Gold,27.3723
1912,Silver,27.8065
1920,Bronze,29.8964
1920,Gold,29.5304
1920,Silver,29.7075
1924,Bronze,27.6213
1924,Gold,28.0000
1924,Silver,28.8208
1928,Bronze,26.1278
1928,Gold,25.7083
1928,Silver,26.1984
1932,Bronze,25.6787
1932,Gold,26.0741
1932,Silver,26.6926
1936,Bronze,25.7702
1936,Gold,25.9613
1936,Silver,25.9825
1948,Bronze,28.1731
1948,Gold,27.9399
1948,Silver,28.0991
1952,Bronze,26.8870
1952,Gold,26.5191
1952,Silver,27.1027
1956,Bronze,25.6842
1956,Gold,26.4399
1956,Silver,25.1527
1960,Bronze,25.2535
1960,Gold,24.8040
1960,Silver,25.1676
1964,Bronze,25.0738
1964,Gold,25.1468
1964,Silver,25.4925
1968,Bronze,25.1918
1968,Gold,24.6897
1968,Silver,25.0590
1972,Bronze,24.9232
1972,Gold,25.0636
1972,Silver,24.6159
1976,Bronze,24.5856
1976,Gold,24.1287
1976,Silver,24.4810
1980,Bronze,24.3469
1980,Gold,24.2121
1980,Silver,24.3540
1984,Bronze,24.3438
1984,Gold,24.2135
1984,Silver,24.1682
1988,Bronze,24.7141
1988,Gold,24.3522
1988,Silver,24.4322
1992,Bronze,24.8249
1992,Gold,24.4043
1992,Silver,24.7385
1994,Bronze,24.9820
1994,Gold,25.4037
1994,Silver,25.4587
1996,Bronze,25.1709
1996,Gold,25.5807
1996,Silver,25.5066
1998,Bronze,26.2067
1998,Gold,25.9172
1998,Silver,26.0207
2000,Bronze,26.1956
2000,Gold,26.1041
2000,Silver,26.0258
2002,Bronze,26.6792
2002,Gold,26.7888
2002,Silver,27.3654
2004,Bronze,26.2216
2004,Gold,25.9638
2004,Silver,26.2773
2006,Bronze,27.7486
2006,Gold,27.4432
2006,Silver,26.8229
2008,Bronze,25.9099
2008,Gold,25.9076
2008,Silver,26.3328
2010,Bronze,26.7310
2010,Gold,26.7874
2010,Silver,26.6784
2012,Bronze,26.1193
2012,Gold,26.0016
2012,Silver,26.0715
2014,Bronze,26.6345
2014,Gold,26.7463
2014,Silver,26.5584
2016,Bronze,26.0839
2016,Gold,26.5166
2016,Silver,26.3908
