year,season,city,sex,average_age,total_athletes,medalists
1896,Summer,Athina,M,24,215,99
1900,Summer,Paris,F,29,23,10
1900,Summer,Paris,M,28,1058,436
1904,Summer,"St. Louis",F,50,13,9
1904,Summer,"St. Louis",M,26,1007,408
1906,Summer,Athina,F,24,4,2
1906,Summer,Athina,M,27,964,299
1908,Summer,London,F,34,39,15
1908,Summer,London,M,27,2304,732
1912,Summer,Stockholm,F,22,87,30
1912,Summer,Stockholm,M,28,3783,900
1920,Summer,Antwerpen,F,24,121,44
1920,Summer,Antwerpen,M,29,3310,1125
1924,Winter,Chamonix,F,26,16,6
1924,Summer,Paris,F,25,175,41
1924,Winter,Chamonix,M,28,387,114
1924,Summer,Paris,M,28,3822,728
1928,Summer,Amsterdam,F,23,317,90
1928,Winter,"Sankt Moritz",F,26,26,5
1928,Summer,Amsterdam,M,28,3325,602
1928,Winter,"Sankt Moritz",M,27,461,80
1932,Winter,"Lake Placid",F,23,20,5
1932,Summer,"Los Angeles",F,23,207,55
1932,Winter,"Lake Placid",M,26,305,83
1932,Summer,"Los Angeles",M,29,1728,552
1936,Summer,Berlin,F,22,416,81
1936,Winter,Garmisch-Partenkirchen,F,23,80,9
1936,Summer,Berlin,M,27,5476,815
1936,Winter,Garmisch-Partenkirchen,M,25,795,96
1948,Summer,London,F,25,532,99
1948,Winter,"Sankt Moritz",F,23,132,15
1948,Summer,London,M,29,4499,720
1948,Winter,"Sankt Moritz",M,27,930,117
1952,Summer,Helsinki,F,23,1446,140
1952,Winter,Oslo,F,23,181,18
1952,Summer,Helsinki,M,27,6504,744
1952,Winter,Oslo,M,26,895,115
1956,Winter,"Cortina d'Ampezzo",F,23,243,27
1956,Summer,Melbourne,F,22,828,137
1956,Summer,Stockholm,F,36,23,6
1956,Winter,"Cortina d'Ampezzo",M,26,1029,122
1956,Summer,Melbourne,M,26,3402,695
1956,Summer,Stockholm,M,34,233,30
1960,Summer,Roma,F,22,1416,155
1960,Winter,"Squaw Valley",F,22,292,37
1960,Summer,Roma,M,26,6453,745
1960,Winter,"Squaw Valley",M,25,803,105
1964,Winter,Innsbruck,F,23,404,46
1964,Summer,Tokyo,F,22,1336,196
1964,Winter,Innsbruck,M,25,1353,140
1964,Summer,Tokyo,M,26,6283,815
1968,Winter,Grenoble,F,22,415,46
1968,Summer,"Mexico City",F,21,1765,215
1968,Winter,Grenoble,M,25,1446,152
1968,Summer,"Mexico City",M,25,6689,830
1972,Summer,Munich,F,21,2175,250
1972,Winter,Sapporo,F,22,410,44
1972,Summer,Munich,M,25,8001,960
1972,Winter,Sapporo,M,25,1223,153
1976,Winter,Innsbruck,F,21,432,50
1976,Summer,Montreal,F,21,2160,387
1976,Winter,Innsbruck,M,24,1411,159
1976,Summer,Montreal,M,25,6420,924
1980,Winter,"Lake Placid",F,22,430,51
1980,Summer,Moskva,F,21,1732,433
1980,Winter,"Lake Placid",M,24,1311,167
1980,Summer,Moskva,M,25,5272,950
1984,Summer,"Los Angeles",F,22,2432,491
1984,Winter,Sarajevo,F,22,536,54
1984,Summer,"Los Angeles",M,25,6789,969
1984,Winter,Sarajevo,M,24,1582,168
1988,Winter,Calgary,F,22,679,62
1988,Summer,Seoul,F,22,3531,552
1988,Winter,Calgary,M,24,1949,200
1988,Summer,Seoul,M,25,8371,1018
1992,Winter,Albertville,F,23,1053,98
1992,Summer,Barcelona,F,23,4108,587
1992,Winter,Albertville,M,24,2378,219
1992,Summer,Barcelona,M,25,8796,1116
1994,Winter,Lillehammer,F,23,1103,106
1994,Winter,Lillehammer,M,25,2050,223
1996,Summer,Atlanta,F,24,4996,757
1996,Summer,Atlanta,M,26,8754,1074
1998,Winter,Nagano,F,24,1384,189
1998,Winter,Nagano,M,26,2216,251
2000,Summer,Sydney,F,24,5429,879
2000,Summer,Sydney,M,26,8386,1124
2002,Winter,"Salt Lake City",F,25,1581,208
2002,Winter,"Salt Lake City",M,26,2524,268
2004,Summer,Athina,F,25,5545,897
2004,Summer,Athina,M,26,7895,1103
2006,Winter,Torino,F,25,1757,231
2006,Winter,Torino,M,26,2624,295
2008,Summer,Beijing,F,25,5814,932
2008,Summer,Beijing,M,26,7783,1116
2010,Winter,Vancouver,F,25,1847,229
2010,Winter,Vancouver,M,27,2551,287
2012,Summer,London,F,25,5815,918
2012,Summer,London,M,27,7099,1022
2014,Winter,Sochi,F,25,2023,265
2014,Winter,Sochi,M,26,2865,330
2016,Summer,"Rio de Janeiro",F,26,6223,969
2016,Summer,"Rio de Janeiro",M,27,7462,1053
