year,total_athletes,medalists
1896,215,99
1900,1081,446
1904,1020,417
1906,968,301
1908,2343,747
1912,3870,930
1920,3431,1169
1924,4400,889
1928,4129,777
1932,2260,695
1936,6767,1001
1948,6093,951
1952,9026,1017
1956,5758,1017
1960,8964,1042
1964,9376,1197
1968,10315,1243
1972,11809,1407
1976,10423,1520
1980,8745,1601
1984,11339,1682
1988,14530,1832
1992,16335,2020
1994,3153,329
1996,13750,1831
1998,3600,440
2000,13815,2003
2002,4105,476
2004,13440,2000
2006,4381,526
2008,13597,2048
2010,4398,516
2012,12914,1940
2014,4888,595
2016,13685,2022
